vardekod,vardebenamning
345,UTBILDNING FÖR DETALJHANDELSARBETE (INKL PARTIHANDEL)
346,FÖRVALTNINGSUTBILDNING
347,"3-ÅRIGA HANDELSOCH EKON. UTB I GYMNASIESKOLAN. 3-ÅRIG EKONOMISK LINJE HANDELSGYMNASIEUTBILDNING. AVGÅNGSBETYG 3, EKONOMISK SEKTOR, KOMMUNAL VUXENUTBILDNING, KOMVUX. 3-ÅRIG HANDELSLINJE. HANDELSGYMNASIEUTBILDNING,"
348,ANNAN HITHÖRANDE UTBILDNING LÄNGRE ÄN 2 ÅR
349,OSPECIFICERAD HITHÖRANDE UTBILD NING LÄNGRE ÄN 2 ÅR
350,JOURNALISTUTBILDNING (STUDENTLINJEN)
351,SEKRETERARUTBILDNING BASERAD PÅ GYMNASIESKOLA EXKL CIVILSEKRETERAR-UTBILDNING
352,KOMMERSIELLT INRIKTAD UTBILDNING
353,ADB-UTBILDNING
354,DETALJHANDELSUTBILDNING
355,FÖRVALTNINGSUTBILDNING
356,HÖGSKOLEEXAMEN
357,FÖRETAGSEKONOMISK INRIKTAD UTBILDNING
358,ANNAN HITHÖRANDE UTBILDNING MINDRE ÄN 3 ÅR
359,OSPECIFICERAD HITHÖRANDE UTBILD NING MINDRE ÄN 3 ÅR
360,JOURNALISTUTBILDNING (AKADEMIKERLINJEN)
361,AKADEMISK SEKRETERARUTBILD NING (CIVILSEKRETERARUTBILD NING)
362,EKONOMUTBILDNING
363,SOCIONOMUTBILDNING SAMT ANNAN LINJEUTBILDNING MED FÖRVALTNINGSOCH BETEENDEVETENSKAPLIG INRIKTNING
364,JURISTUTBILDNING
365,POL MAG UTBILDNING OCH MOTSV.
366,KANDIDATEXAMEN f.o.m. 1993 samt FIL KAND MED FÖRDJUPNINGSÄMNE f.o.m. 1986 (kod 3665). ÄLDRE FIL KAND-UTB OCH LINJER MED SAMHÄLLSVETENSKAPLIG INRIKTNING (kod 3660-3664).
367,"MAGISTEREXAMEN, F.O.M. 1993 (kod 3675)  ÄLDRE FIL MAG-UTB (kod 1670-1677)"
368,ÖVRIG LÄNGRE EFTERGYMNASAL UTBILDNING SAMT VIDAREUTBILDNING AV AKADEMIKER
369,ANNAN OCH OSPECIFICERAD HITHÖRANDE UTBILDNING
370,JUR DOKTORSEXAMEN ENL NYA SYSTEMET FR O M 1969
371,JUR LIC UTBILDNING
372,JUR DOKTORSGRAD ENL ÄLDRE SYSTEM
373,FIL LIC UTBILDNING
374,FIL DOKTORSGRAD ENL ÄLDRE SYSTEM
375,EKON LIC UTBILDNING
376,EKON DOKTORSGRAD ENL ÄLDRE SYSTEM
377,FIL DOKTORSEXAMEN OCH EKON DOK TORSEXAMEN ENL NYA SYSTEMET
378,ANNAN HITHÖRANDE UTBILDNING
379,OSPECIFICERAD HITHÖRANDE UTBILD NING
399,"OSPECIFICERAD UTBILDNING FÖR FÖRVALTNING, HANDEL OCH KONTOR SAMT EKONOMISK SAMHÄLLSVETENSKAPLIG OCH BETEENDEVETENSKAPLIG UTBILD NING"
430,"AVGÅNGSBETYG 2 FRÅN KUMMUNAL VUXEN-UTBILDNING, KOMVUX."
431,INDUSTRIELL CIVIL VERKSUTBILDNING
432,NATURVETENSKAPLIG CIVIL VERKS UTBILDNING
433,TEKNISK CIVIL VERKSUTBILDNING
