vardekod,vardebenamning
62329,Handel med diverse hemutrustning t ex husgeråd
623290,Handel med diverse hemutrustning t ex husgeråd
6233,"Ur-, guldsmeds- och fritidsvarudetaljhandel"
62331,"Ur-, guldsmeds- och fritidsvarudetaljhandel"
623310,"Ur-, guldsmeds- och fritidsvarudetaljhandel"
62332,Fotohandel
623320,Fotohandel
62333,"Detaljhandel med t ex båtar, cyklar, fritidsartiklar"
623330,"Detaljhandel med t ex båtar, cyklar, fritidsartiklar"
62334,"Skiv-, ljudbands-, musikinstrum-, leksakshandel"
623340,"Skiv-, ljudbands-, musikinstrum-, leksakshandel"
62335,Detaljhandel med optiska artiklar
