code,label,label_en,parent_code,valid_from,valid_to
078E,Mul- och klövsjuka,,,,
078F,Cytomegalvirussjukdom,,,,
078G,Hemorragisk nefrosonefrit,,,,
078H,Arenaviral hemorragisk feber,,,,
078J,Klamydiainfektion i urogenitalorganen,,,,
078W,Andra virussjukdomar,,,,
079A,Sjukdom orsakad av adenovirus,,,,
079B,Sjukdom orsakad av ECHO-virus,,,,
079C,Sjukdom orsakad av Coxsackie-virus,,,,
079D,Sjukdom orsakad av rhinovirus,,,,
079J,Sjd ors av humant T-lymfotropt virus typ III (HTLV-III),,,,
079W,Sjukdom orsakad av andra specificerade virus,,,,
079X,Sjukdom orsakad av ospecificerat virus,,,,
080X,Fläcktyfus överförd av löss,,,,
081X,Annan fläcktyfus,,,,
082B,Boutonneus-feber,,,,
082W,Annan specificerad rickettsios överförd av fästingar,,,,
082X,"Rickettsios överförd av fästingar, ospecificerad",,,,
083A,Q-feber,,,,
083W,Andra specificerade rickettsioser,,,,
083X,"Andra rickettsioser, ospecificerade",,,,
084A,Falciparum-malaria (malign),,,,
084B,Vivax-malaria (benign),,,,
084C,Kvartär-malaria,,,,
084D,Oval-malaria,,,,
084E,Annan malaria,,,,
084F,Blandad malaria,,,,
084G,Icke specificerad malaria,,,,
084H,Inducerad malaria,,,,
084W,Blackwater fever,,,,
084X,Andra perniciösa komplikationer till malaria,,,,
085A,"Leishmanios, visceral form (kala-azar)",,,,
085B,"Leishmanios, kutan form, urban",,,,
085C,"Leishmanios, kutan form, asiatisk",,,,
085D,"Leishmanios, kutan form, etiopisk",,,,
085E,"Leishmanios, kutan form, amerikansk",,,,
085F,"Leishmanios, mukokutan form, amerikansk",,,,
085X,"Leishmanios, ospecificerad",,,,
086A,Chagas sjukdom med hjärtengagemang,,,,
086B,Chagas sjukdom med engagemang av andra organ än hjärtat,,,,
086C,Chagas sjukdom utan uppgift om organengagemang,,,,
086D,Gambia-trypanosomiasis,,,,
086E,Rhodesia-tryponasomiasis,,,,
086F,"Afrikansk trypanosomiasis, ospecificerad",,,,
086X,"Trypanosomiasis, ospecificerad",,,,
087A,Återfallsfeber överförd av löss,,,,
087B,Återfallsfeber överförd av fästingar,,,,
087X,"Återfallsfeber, ospecificerad",,,,
088X,Annan sjukdom överförd av leddjur,,,,
090A,Tidig medfödd syfilis med symtom,,,,
090B,Tidig medfödd latent syfilis,,,,
090C,"Tidig medfödd syfilis, ospecificerad",,,,
090D,Syfilitisk interstitiell keratit,,,,
090E,Juvenil neurosyfilis,,,,
090F,Annan sen medfödd syfilis med symtom,,,,
090G,Sen medfödd latent syfilis,,,,
090H,"Sen medfödd syfilis, ospecificerad",,,,
090X,"Medfödd syfilis, ospecificerad",,,,
091A,Primär genital syfilis,,,,
091B,Tidig anal syfilis,,,,
091C,Annan primär syfilis än 091A-B,,,,
091D,Sekundär syfilis i hud eller slemhinnor,,,,
091E,Adenopati beroende på sekundär syfilis,,,,
091F,Uveit beroende på sekundär syfilis,,,,
091G,Sekundär syfilis i inre organ och skelett,,,,
091H,Återfall av sekundär syfilis,,,,
091W,Andra former av sekundär syfilis än 091D-H,,,,
091X,Icke specificerad sekundär syfilis,,,,
092A,"Tidig latent syfilis, serolog återfall efter behandling",,,,
092X,"Tidig latent syfilis, ospecificerad",,,,
093A,Aneurysm i aorta beroende på syfilis,,,,
093B,Syfilitisk aortit,,,,
093C,Syfilitisk endokardit,,,,
093W,Annan specificerad kardiovaskulär syfilis än 093A-C,,,,
093X,"Kardiovaskulär syfilis, ospecificerad",,,,
094A,Tabes dorsalis,,,,
094B,Paralysie generale,,,,
094C,Syfilitisk meningit,,,,
094D,Asymtomatisk neurosyfilis,,,,
094W,Annan specificerad neurosyfilis än 094A-D,,,,
094X,"Neurosyfilis, ospecificerad",,,,
095X,Sen syfilis med symtom andra former än 093-094,,,,
096X,Sen latent syfilis,,,,
097A,"Sen syfilis, ospecificerad",,,,
097B,"Latent syfilis, ospecificerad",,,,
097X,"Syfilis, ospecificerad",,,,
098A,Akut gonokockinfekt i nedre del av urin- och könsorgan,,,,
098B,Akut gonokockinfekt i övre delen av urin- och könsorgan,,,,
098C,Kronisk gonokockinfekt i nedre del av urin- och könsorg,,,,
098D,Kronisk gonokockinfekt i övre del av urin- och könsorg,,,,
098E,Gonokockinfektion i ögonen,,,,
098F,Gonokockinfektion i lederna,,,,
098G,Gonokockinfektion i svalget,,,,
098H,Gonokockinfektion i anus och rektum,,,,
098W,Gonokockinfektion med annan lokalisation än 098A-H,,,,
099A,Chankroid,,,,
099B,Lymphogranuloma venereum,,,,
099C,Granuloma inguinale,,,,
099D,Reiters sjukdom,,,,
